task,n_qubits,arm,replicate,test_auc
peak_count,5,evolutionary_structure,0,0.7736988067626953
peak_count,5,evolutionary_structure,1,0.7146978378295898
peak_count,5,evolutionary_structure,2,0.7455692291259766
peak_count,5,evolutionary_structure,3,0.6714897155761719
peak_count,5,evolutionary_structure,4,0.6859922409057617
peak_count,5,evolutionary_structure,5,0.7641191482543945
peak_count,5,evolutionary_structure,6,0.7192840576171875
peak_count,5,evolutionary_structure,7,0.7946920394897461
peak_count,5,evolutionary_structure,8,0.8133125305175781
peak_count,5,evolutionary_structure,9,0.7014522552490234
peak_count,5,greedy_growth,0,0.7625970840454102
peak_count,5,greedy_growth,1,0.706085205078125
peak_count,5,greedy_growth,2,0.7182168960571289
peak_count,5,greedy_growth,3,0.7174100875854492
peak_count,5,greedy_growth,4,0.7484302520751953
peak_count,5,greedy_growth,5,0.7582244873046875
peak_count,5,greedy_growth,6,0.6070175170898438
peak_count,5,greedy_growth,7,0.7843437194824219
peak_count,5,greedy_growth,8,0.7605142593383789
peak_count,5,greedy_growth,9,0.7287654876708984
peak_count,5,random_structure,0,0.745396614074707
peak_count,5,random_structure,1,0.7059831619262695
peak_count,5,random_structure,2,0.7553691864013672
peak_count,5,random_structure,3,0.7131004333496094
peak_count,5,random_structure,4,0.7873935699462891
peak_count,5,random_structure,5,0.7803564071655273
peak_count,5,random_structure,6,0.7317066192626953
peak_count,5,random_structure,7,0.7504196166992188
peak_count,5,random_structure,8,0.7917795181274414
peak_count,5,random_structure,9,0.7078561782836914
peak_count,5,ref_realamp_d1,0,0.6585521697998047
peak_count,5,ref_realamp_d1,1,0.6077299118041992
peak_count,5,ref_realamp_d1,2,0.5733699798583984
peak_count,5,ref_realamp_d1,3,0.5956048965454102
peak_count,5,ref_realamp_d1,4,0.6339988708496094
peak_count,5,ref_realamp_d1,5,0.5588960647583008
peak_count,5,ref_realamp_d1,6,0.6396713256835938
peak_count,5,ref_realamp_d1,7,0.5647802352905273
peak_count,5,ref_realamp_d1,8,0.6270589828491211
peak_count,5,ref_realamp_d1,9,0.5816135406494141
peak_count,5,ref_realamp_d2,0,0.6441230773925781
peak_count,5,ref_realamp_d2,1,0.674901008605957
peak_count,5,ref_realamp_d2,2,0.6723785400390625
peak_count,5,ref_realamp_d2,3,0.6023712158203125
peak_count,5,ref_realamp_d2,4,0.6700305938720703
peak_count,5,ref_realamp_d2,5,0.6668844223022461
peak_count,5,ref_realamp_d2,6,0.6799564361572266
peak_count,5,ref_realamp_d2,7,0.6776418685913086
peak_count,5,ref_realamp_d2,8,0.5034465789794922
peak_count,5,ref_realamp_d2,9,0.6585149765014648
peak_count,5,ref_strongent_d1,0,0.5848751068115234
peak_count,5,ref_strongent_d1,1,0.5759420394897461
peak_count,5,ref_strongent_d1,2,0.630274772644043
peak_count,5,ref_strongent_d1,3,0.6569366455078125
peak_count,5,ref_strongent_d1,4,0.6218223571777344
peak_count,5,ref_strongent_d1,5,0.6240005493164062
peak_count,5,ref_strongent_d1,6,0.5996665954589844
peak_count,5,ref_strongent_d1,7,0.613067626953125
peak_count,5,ref_strongent_d1,8,0.6369009017944336
peak_count,5,ref_strongent_d1,9,0.5718975067138672
peak_count,5,ref_strongent_d2,0,0.7182769775390625
peak_count,5,ref_strongent_d2,1,0.7117033004760742
peak_count,5,ref_strongent_d2,2,0.7363004684448242
peak_count,5,ref_strongent_d2,3,0.7158298492431641
peak_count,5,ref_strongent_d2,4,0.7222251892089844
peak_count,5,ref_strongent_d2,5,0.7602214813232422
peak_count,5,ref_strongent_d2,6,0.7578792572021484
peak_count,5,ref_strongent_d2,7,0.7483530044555664
peak_count,5,ref_strongent_d2,8,0.7895221710205078
peak_count,5,ref_strongent_d2,9,0.6982936859130859
